date,assetCategory,roll30_cs_vol
2018-01-01,Bond,
2018-01-01,MTF,
2018-01-01,Stock,
2018-01-02,Bond,
2018-01-02,MTF,
2018-01-02,Stock,
2018-01-03,Bond,
2018-01-03,MTF,
2018-01-03,Stock,
2018-01-04,Bond,
2018-01-04,MTF,
2018-01-04,Stock,
2018-01-05,Bond,
2018-01-05,MTF,
2018-01-05,Stock,
2018-01-08,Bond,
2018-01-08,MTF,
2018-01-08,Stock,
2018-01-09,Bond,
2018-01-09,MTF,
2018-01-09,Stock,
2018-01-10,Bond,
2018-01-10,MTF,
2018-01-10,Stock,
2018-01-11,Bond,
2018-01-11,MTF,
2018-01-11,Stock,
2018-01-12,Bond,
2018-01-12,MTF,
2018-01-12,Stock,
2018-01-15,Bond,0.0026485612290674657
2018-01-15,MTF,0.007314865673611427
2018-01-15,Stock,0.03537429170579484
2018-01-16,Bond,0.002799473964659402
2018-01-16,MTF,0.008326641029991663
2018-01-16,Stock,0.03487365919228948
2018-01-17,Bond,0.0026485612290674657
2018-01-17,MTF,0.007664665691903865
2018-01-17,Stock,0.03482922753956114
2018-01-18,Bond,0.002799473964659402
2018-01-18,MTF,0.0070026903538160665
2018-01-18,Stock,0.03487365919228948
2018-01-19,Bond,0.002848709076285847
2018-01-19,MTF,0.0066528903355236296
2018-01-19,Stock,0.03537429170579484
2018-01-22,Bond,0.002799473964659402
2018-01-22,MTF,0.006303090317231193
2018-01-22,Stock,0.03487365919228948
2018-01-23,Bond,0.0026485612290674657
2018-01-23,MTF,0.0066528903355236296
2018-01-23,Stock,0.03485552710173403
2018-01-24,Bond,0.002799473964659402
2018-01-24,MTF,0.0070026903538160665
2018-01-24,Stock,0.03487365919228948
2018-01-25,Bond,0.0026485612290674657
2018-01-25,MTF,0.006734469213957728
2018-01-25,Stock,0.03485552710173403
2018-01-26,Bond,0.0024976484934755294
2018-01-26,MTF,0.006615686504747669
2018-01-26,Stock,0.03487365919228948
2018-01-29,Bond,0.0026485612290674657
2018-01-29,MTF,0.00654096728942353
2018-01-29,Stock,0.03485552710173403
2018-01-30,Bond,0.0024976484934755294
2018-01-30,MTF,0.006615686504747669
2018-01-30,Stock,0.03483739501117858
2018-01-31,Bond,0.0024282150449524554
2018-01-31,MTF,0.0066659698945617275
2018-01-31,Stock,0.034811095449005694
2018-02-01,Bond,0.0023587815964293815
2018-02-01,MTF,0.006716253284375786
2018-02-01,Stock,0.03483739501117858
2018-02-02,Bond,0.0024282150449524554
2018-02-02,MTF,0.006859471819095926
2018-02-02,Stock,0.03484995891206115
2018-02-05,Bond,0.0024976484934755294
2018-02-05,MTF,0.0070026903538160665
2018-02-05,Stock,0.03486252281294371
2018-02-06,Bond,0.0026485612290674657
2018-02-06,MTF,0.007102186793687677
2018-02-06,Stock,0.03486809100261659
2018-02-07,Bond,0.0024976484934755294
2018-02-07,MTF,0.007201683233559288
2018-02-07,Stock,0.03487365919228948
